CAMERA_ID,RESTRICTED_AREA_NAME,ALERT_TYPE,ALERT_REASON,ALERT_DATE,ALERT_TIME,FACILITY,SEVERITY
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-04-01,15:25:57,Ankara Facility 2,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-01,11:39:29,Ankara Facility 1,Low
Workshop_1,workbenches,PPE Violation,No safety vest,2026-04-01,16:41:34,Ankara Facility 1,Low
Workshop_3,workbenches,PPE Violation,No safety vest,2026-03-31,11:15:53,Ankara Facility 1,High
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-04-02,11:20:21,Ankara Facility 2,Moderate
Workshop_3,workbenches,PPE Violation,No hard hat protection,2026-03-31,15:38:54,Ankara Facility 1,Low
Workshop_1,workbenches,PPE Violation,No hand protection,2026-04-02,15:30:40,Ankara Facility 1,High
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-03,16:11:27,Ankara Facility 1,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-03-31,16:37:07,Ankara Facility 1,High
Workshop_3,workbenches,PPE Violation,No hand protection,2026-04-01,16:19:59,Ankara Facility 1,Low
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-03-31,10:27:34,Ankara Facility 1,Low
Workshop_1,workbenches,PPE Violation,No hand protection,2026-04-03,16:45:38,Ankara Facility 2,Moderate
Workshop_3,workbenches,PPE Violation,No safety vest,2026-04-02,16:36:06,Ankara Facility 1,Low
Workshop_2,workbenches,PPE Violation,No hard hat protection,2026-03-30,11:14:49,Ankara Facility 2,Low
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-04-03,16:24:33,Ankara Facility 2,High
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-03-30,13:08:53,Ankara Facility 1,High
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-03-31,11:31:01,Ankara Facility 2,Low
Workshop_1,workbenches,PPE Violation,No hand protection,2026-04-02,15:40:26,Ankara Facility 2,High
Workshop_1,workbenches,PPE Violation,No safety vest,2026-03-30,14:33:35,Ankara Facility 1,High
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-04-03,14:43:37,Ankara Facility 1,Low
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-02,10:42:03,Ankara Facility 2,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-01,09:33:56,Ankara Facility 1,High
Workshop_3,workbenches,PPE Violation,No hand protection,2026-04-02,16:50:00,Ankara Facility 1,Moderate
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-04-01,11:12:07,Ankara Facility 1,Moderate
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-03-31,16:31:45,Ankara Facility 2,Moderate
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-04-03,12:42:18,Ankara Facility 2,High
Workshop_2,workbenches,PPE Violation,No hard hat protection,2026-03-30,13:47:43,Ankara Facility 1,Low
Workshop_1,workbenches,PPE Violation,No safety vest,2026-04-01,13:47:03,Ankara Facility 1,Low
Workshop_3,workbenches,PPE Violation,No safety vest,2026-03-31,16:39:27,Ankara Facility 1,Low
Loading_Bay_1,dock_1,Prohibited Area Violation,Prohibited Area,2026-03-31,10:25:03,Ankara Facility 1,Moderate
Workshop_1,workbenches,PPE Violation,No hard hat protection,2026-03-31,12:35:52,Ankara Facility 1,High
Loading_Bay_1,dock_3,Prohibited Area Violation,Prohibited Area,2026-03-30,11:47:27,Ankara Facility 2,Moderate
Loading_Bay_1,dock_2,Prohibited Area Violation,Prohibited Area,2026-04-01,09:26:22,Ankara Facility 1,Low
Loading_Bay_1,dock_3,Prohibited Area Violation,Prohibited Area,2026-03-31,15:02:25,Ankara Facility 2,Moderate
Workshop_1,workbenches,PPE Violation,No safety vest,2026-04-01,09:01:14,Ankara Facility 2,High
